;;;;;;;;;test_accuracy;test_accuracy;test_macro_f1;test_macro_f1;train_accuracy;train_accuracy;train_macro_f1;train_macro_f1
;;;;;;;;;mean;std;mean;std;mean;std;mean;std
dataset_name;sampler_name;budget;embedding_dim;hidden_dim_size;dropout;distance_loss_weight;train_epochs;learning_rate;;;;;;;;
CiteSeer;model;6;16;128;0.5;1;5;0.004;0.184915084915085;0.0458319041632003;0.131185951987646;0.0368182410252969;0.9;0.11653431646335;0.820761904761905;0.204327483057413
CiteSeer;model;12;16;128;0.5;1;5;0.004;0.314085914085914;0.0673273641511637;0.262704213154791;0.0565891245671995;0.916666666666667;0.117851130197758;0.898666666666667;0.15351822811928
CiteSeer;model;18;16;128;0.5;1;5;0.004;0.355244755244755;0.0845259540902478;0.31697477285878;0.0669597197495278;0.966666666666666;0.0597204277651745;0.964959595959596;0.0676080937062399
CiteSeer;model;24;16;128;0.5;1;5;0.004;0.458441558441558;0.0849567976527347;0.407581495443398;0.0775120862526551;0.9625;0.0307443661405259;0.927525086998771;0.0810302952049935
CiteSeer;model;30;16;128;0.5;1;5;0.004;0.440759240759241;0.108196722628044;0.389229513499863;0.101079778148675;0.94;0.0782525193851511;0.917092882750777;0.10165051041358
CiteSeer;model;36;16;128;0.5;1;5;0.004;0.494605394605395;0.0671067142446841;0.4431696900844;0.0603312102330346;0.969444444444444;0.0276230257225487;0.935569394081139;0.0757041108830112
CiteSeer;model;42;16;128;0.5;1;5;0.004;0.550849150849151;0.0742168025440469;0.485661176388939;0.0610883232532987;0.957142857142857;0.0632933398011964;0.943313706010765;0.0993163890415032
CiteSeer;model;48;16;128;0.5;1;5;0.004;0.606393606393606;0.0462283147228193;0.537137427172554;0.0602275401812378;0.977083333333333;0.0182415632452274;0.975453097705038;0.0199302864662321
CiteSeer;model;54;16;128;0.5;1;5;0.004;0.633066933066933;0.0367540962156033;0.551817213871159;0.0494212388939999;0.975925925925926;0.0276747058906912;0.965493054405782;0.0391305148904461
CiteSeer;model;60;16;128;0.5;1;5;0.004;0.652047952047952;0.0543393898239171;0.576575311331526;0.0689134174611352;0.976666666666667;0.0224982852570184;0.975535109931499;0.0260871193463799
CiteSeer;model;66;16;128;0.5;1;5;0.004;0.668631368631369;0.0202394632876304;0.601741398962926;0.0222981488700412;0.966666666666667;0.030134209879144;0.963937501736715;0.0327115703275636
CiteSeer;model;72;16;128;0.5;1;5;0.004;0.68021978021978;0.0427005899816261;0.61812691401709;0.0356606648555264;0.968055555555556;0.0314337874014222;0.965364221500663;0.0321773114045078
CiteSeer;model;78;16;128;0.5;1;5;0.004;0.69010989010989;0.0192726370086895;0.629228391979953;0.0219583782368763;0.965384615384615;0.0396538827680754;0.964625558823103;0.0406576276562747
CiteSeer;model;84;16;128;0.5;1;5;0.004;0.692907092907093;0.0229948725834217;0.633782701549713;0.0271783893362465;0.976190476190476;0.020234204419019;0.975303603476407;0.0200752719059999
CiteSeer;model;90;16;128;0.5;1;5;0.004;0.6996003996004;0.0212131928501735;0.641006006589959;0.0238696236460533;0.971111111111111;0.0210818510677892;0.971878560769546;0.0211583205354051
CiteSeer;model;96;16;128;0.5;1;5;0.004;0.711288711288711;0.0233147799723134;0.654913326967011;0.0307385658961952;0.971875;0.0170457468175467;0.970049008718381;0.0201350653957574
CiteSeer;model;102;16;128;0.5;1;5;0.004;0.715584415584416;0.0176963909095665;0.661389448976773;0.0246818631618628;0.980392156862745;0.0153281560778544;0.98043462612625;0.0150600296872628
CiteSeer;model;108;16;128;0.5;1;5;0.004;0.721078921078921;0.0234513578355672;0.670665155514178;0.0313505023825431;0.976851851851852;0.0170453102117088;0.975298538590141;0.0173363437027584
CiteSeer;model;114;16;128;0.5;1;5;0.004;0.726773226773227;0.0167314028216226;0.675858938098121;0.0264233649204168;0.978947368421053;0.00942954122608013;0.976374098903683;0.0123842759435186
CiteSeer;model;120;16;128;0.5;1;5;0.004;0.730569430569431;0.0199302855306231;0.680597083855119;0.0258788685826568;0.9825;0.0120761472884912;0.981775631668081;0.0121871393504645
CiteSeer;model;126;16;128;0.5;1;5;0.004;0.728571428571429;0.0192222260908455;0.682084782233993;0.0198661169902998;0.980952380952381;0.0119487722652235;0.979644562444896;0.0139347810669114
CiteSeer;model;132;16;128;0.5;1;5;0.004;0.73016983016983;0.0189456412394589;0.685776479107049;0.0227904086541494;0.977272727272727;0.0101010101010101;0.976164325582807;0.00995674985229732
CiteSeer;model;138;16;128;0.5;1;5;0.004;0.735464535464535;0.0171990723010249;0.693108459320119;0.0202892234373062;0.978985507246377;0.0110426371503985;0.977801504860899;0.0111403596308417
CiteSeer;model;140;16;128;0.5;1;5;0.004;0.737262737262737;0.016265967022071;0.695495865798205;0.0194169570171354;0.98;0.0099886556968586;0.978610461935057;0.0115345184215082
