dataset_name;sampler_name;budget;embedding_dim;hidden_dim_multiplier;dropout;distance_loss_weight;train_epochs;learning_rate;test_accuracy;test_macro_f1
Cora;pagerank;119;16;6;0.5;1;16;0.003;0.783843329253366;0.759384314960901
Cora;random;119;16;6;0.5;1;16;0.003;0.776621787025704;0.746183204610952
Cora;kmedoids;119;16;6;0.5;1;16;0.003;0.760097919216646;0.728817344269371
Cora;model;126;16;6;0.5;1;16;0.003;0.796940024479804;0.77881342154761
Cora;random;126;16;6;0.5;1;16;0.003;0.78421052631579;0.756674917030665
Cora;pagerank;126;16;6;0.5;1;16;0.003;0.781272949816402;0.755947559247175
Cora;kmedoids;126;16;6;0.5;1;16;0.003;0.768421052631579;0.736912692771664
Cora;model;133;16;6;0.5;1;16;0.003;0.79889840881273;0.782023757935258
Cora;pagerank;133;16;6;0.5;1;16;0.003;0.788004895960832;0.762319063888683
Cora;random;133;16;6;0.5;1;16;0.003;0.786536107711138;0.758156956597679
Cora;kmedoids;133;16;6;0.5;1;16;0.003;0.769522643818849;0.735282261544691
Cora;model;140;16;6;0.5;1;16;0.003;0.804651162790698;0.786569698845534
Cora;pagerank;140;16;6;0.5;1;16;0.003;0.789473684210526;0.764388237331237
Cora;random;140;16;6;0.5;1;16;0.003;0.790575275397797;0.764104848392912
Cora;kmedoids;140;16;6;0.5;1;16;0.003;0.773684210526316;0.741428244462671
