[3 0 0 1 2 0 1]
[3 0 1 5 2 2 1]
[3 1 1 7 5 3 1]
[3  1  2 10  6  4  2]
[4  3  3 12  6  4  3]
[4.5366  2.8047  5.4025 10.5724  5.5059  3.8516  2.3264]
