dataset_name;sampler_name;budget;embedding_dim;hidden_dim_multiplier;dropout;distance_loss_weight;train_epochs;learning_rate;test_accuracy;test_macro_f1;test_confusion
Cora;kmedoids;84;16;6;0.5;0.5;16;0.003;0.6975520195838433;0.6640363042064541;"[[ 62.6   3.3   8.5  12.6   5.8   6.6   6.6]
 [  1.8  41.2  11.7   5.6   2.4   3.    0.3]
 [  1.6   4.4 112.2   3.4   0.6   3.8   0. ]
 [ 15.    8.3  15.  172.2  20.5  12.8   2.2]
 [ 10.7   2.1   1.9  12.2  95.5   4.4   1.2]
 [  8.4   1.7   7.9   5.1   1.   61.9   4. ]
 [ 10.6   0.7   7.3   6.3   0.8   5.   24.3]]"
Cora;kmedoids;91;16;6;0.5;0.5;16;0.003;0.7315789473684211;0.6941145585561962;"[[ 63.2   4.1   6.6  15.1   5.7   6.2   5.1]
 [  2.   44.5   9.    6.3   1.1   2.8   0.3]
 [  1.7   5.8 110.7   5.9   0.7   1.2   0. ]
 [ 13.1   8.4  10.3 190.7  16.8   5.1   1.6]
 [  9.1   2.    1.3  12.3  99.4   2.9   1. ]
 [  7.    2.1   5.4   7.5   0.8  64.3   2.9]
 [ 10.9   0.6   5.7   7.2   0.8   4.9  24.9]]"
Cora;kmedoids;98;16;6;0.5;0.5;16;0.003;0.7341493268053856;0.7000741321333941;"[[6.490e+01 3.700e+00 4.900e+00 1.740e+01 6.100e+00 3.200e+00 5.800e+00]
 [2.500e+00 4.380e+01 8.500e+00 6.900e+00 1.200e+00 2.800e+00 3.000e-01]
 [1.900e+00 2.400e+00 1.138e+02 5.800e+00 8.000e-01 1.200e+00 1.000e-01]
 [1.410e+01 6.500e+00 1.110e+01 1.912e+02 1.850e+01 3.100e+00 1.500e+00]
 [8.500e+00 1.900e+00 8.000e-01 1.440e+01 9.850e+01 2.800e+00 1.100e+00]
 [6.800e+00 2.500e+00 3.800e+00 1.030e+01 1.100e+00 6.180e+01 3.700e+00]
 [1.150e+01 4.000e-01 4.400e+00 8.500e+00 4.000e-01 4.000e+00 2.580e+01]]"
Cora;kmedoids;105;16;6;0.5;0.5;16;0.003;0.750061199510404;0.7183464815531477;"[[6.380e+01 3.800e+00 4.400e+00 1.580e+01 7.600e+00 5.300e+00 5.300e+00]
 [1.700e+00 4.580e+01 7.600e+00 6.500e+00 1.800e+00 2.400e+00 2.000e-01]
 [1.800e+00 2.100e+00 1.127e+02 6.000e+00 1.400e+00 1.900e+00 1.000e-01]
 [1.200e+01 4.700e+00 7.600e+00 1.929e+02 2.120e+01 6.200e+00 1.400e+00]
 [7.600e+00 1.600e+00 6.000e-01 1.120e+01 1.026e+02 3.300e+00 1.100e+00]
 [5.900e+00 1.400e+00 3.400e+00 5.000e+00 1.200e+00 6.960e+01 3.500e+00]
 [9.800e+00 2.000e-01 3.500e+00 8.100e+00 9.000e-01 7.100e+00 2.540e+01]]"
Cora;kmedoids;112;16;6;0.5;0.5;16;0.003;0.7484700122399021;0.7203403376183746;"[[ 64.4   4.    5.5  15.4   7.3   3.3   6.1]
 [  2.2  46.7   8.3   5.1   2.    1.3   0.4]
 [  1.7   2.  116.5   3.8   1.    1.    0. ]
 [ 14.7   6.5   9.6 189.3  19.8   4.2   1.9]
 [  8.3   1.9   0.9  11.5 100.8   3.2   1.4]
 [  6.3   2.4   4.6   5.8   1.2  66.    3.7]
 [  9.5   0.3   4.1   7.1   0.8   5.4  27.8]]"
Cora;kmedoids;119;16;6;0.5;0.5;16;0.003;0.7576499388004896;0.73119139705986;"[[ 69.5   3.1   4.1  15.2   5.7   3.4   5. ]
 [  2.1  43.7  10.5   6.5   1.9   1.1   0.2]
 [  1.5   1.9 114.1   6.3   1.1   1.1   0. ]
 [ 13.2   4.1   8.5 196.2  19.3   3.4   1.3]
 [  8.    2.1   1.2  12.3 100.9   2.3   1.2]
 [  7.3   1.7   3.5   6.5   1.7  65.7   3.6]
 [  9.    0.3   3.2   7.5   0.9   5.2  28.9]]"
Cora;kmedoids;126;16;6;0.5;0.5;16;0.003;0.7711138310893513;0.7477803444119229;"[[7.110e+01 3.100e+00 3.300e+00 1.300e+01 5.800e+00 4.100e+00 5.600e+00]
 [1.900e+00 4.720e+01 7.100e+00 6.400e+00 2.000e+00 1.000e+00 4.000e-01]
 [2.200e+00 1.200e+00 1.137e+02 5.500e+00 1.200e+00 1.700e+00 5.000e-01]
 [1.490e+01 4.300e+00 5.700e+00 1.961e+02 1.950e+01 3.800e+00 1.700e+00]
 [8.200e+00 2.000e+00 2.000e-01 1.080e+01 1.027e+02 2.900e+00 1.200e+00]
 [6.500e+00 1.900e+00 3.100e+00 5.500e+00 1.200e+00 6.800e+01 3.800e+00]
 [9.500e+00 1.000e-01 2.000e+00 6.400e+00 6.000e-01 5.200e+00 3.120e+01]]"
Cora;kmedoids;133;16;6;0.5;0.5;16;0.003;0.7749082007343941;0.7498492886340293;"[[ 72.2   3.6   3.8  11.8   4.4   4.6   5.6]
 [  2.1  48.9   6.7   4.8   1.1   2.    0.4]
 [  1.8   1.9 113.7   5.2   1.1   1.3   1. ]
 [ 15.3   4.4   5.6 197.9  16.8   4.3   1.7]
 [  8.6   2.2   0.4  12.9  99.5   3.1   1.3]
 [  6.2   1.5   2.8   4.6   1.   70.    3.9]
 [  8.8   0.2   2.3   6.2   0.4   6.2  30.9]]"
Cora;kmedoids;140;16;6;0.5;0.5;16;0.003;0.7774785801713586;0.7526601187318522;"[[6.860e+01 3.300e+00 3.500e+00 1.660e+01 4.400e+00 4.700e+00 4.900e+00]
 [2.100e+00 4.740e+01 6.200e+00 7.200e+00 1.200e+00 1.500e+00 4.000e-01]
 [1.800e+00 1.700e+00 1.131e+02 6.500e+00 1.300e+00 1.500e+00 1.000e-01]
 [1.290e+01 2.900e+00 4.000e+00 2.065e+02 1.460e+01 3.700e+00 1.400e+00]
 [7.900e+00 2.100e+00 3.000e-01 1.300e+01 1.006e+02 3.100e+00 1.000e+00]
 [6.400e+00 1.600e+00 2.500e+00 6.600e+00 1.100e+00 6.800e+01 3.800e+00]
 [8.300e+00 0.000e+00 2.900e+00 6.000e+00 6.000e-01 6.200e+00 3.100e+01]]"
Cora;model;7;16;6;0.5;0.5;16;0.003;0.18690330477356182;0.12264261902512255;"[[34.7 27.3 11.4  8.9  9.5  0.  14.2]
 [21.6 21.5  9.2  6.2  5.8  0.   1.7]
 [47.5 28.3 21.7 13.  12.   0.   3.5]
 [81.5 69.4 29.2 33.7 25.1  0.   7.1]
 [37.2 30.5 14.2 16.2 25.9  0.   4. ]
 [27.7 21.4 11.6  7.   8.6  0.9 12.8]
 [17.3 11.2  6.4  2.3  3.5  0.  14.3]]"
